patch_num,patch_size,patch_id,patch_index,patch_location_x,patch_location_y,global_habitat_num,habitat_id,habitat_index,habitat_x_location,habitat_y_location,env_axis1,env_axis2,hab_length,hab_width
64,16,patch13,12,6.0,18.0,1024,h2,2,5,19,0.3417824518420995,0.2880448020552812,10,10
64,16,patch13,12,6.0,18.0,1024,h3,3,5,20,0.3236240611114604,0.3021337424627315,10,10
64,16,patch13,12,6.0,18.0,1024,h4,4,6,17,0.365525936237811,0.2896451791153465,10,10
64,16,patch13,12,6.0,18.0,1024,h5,5,6,18,0.4697075160204168,0.2814657074895486,10,10
64,16,patch13,12,6.0,18.0,1024,h6,6,6,19,0.4633586198074158,0.2988434722284084,10,10
64,16,patch13,12,6.0,18.0,1024,h7,7,6,20,0.3971780276568319,0.2896238468588344,10,10
64,16,patch13,12,6.0,18.0,1024,h8,8,7,17,0.3993709153460673,0.2684163773855936,10,10
64,16,patch13,12,6.0,18.0,1024,h9,9,7,18,0.4904971791269567,0.2553913476163736,10,10
64,16,patch13,12,6.0,18.0,1024,h10,10,7,19,0.4814915238115488,0.3137326077481647,10,10
64,16,patch13,12,6.0,18.0,1024,h11,11,7,20,0.4782600654857298,0.2977519816706964,10,10
64,16,patch13,12,6.0,18.0,1024,h12,12,8,17,0.4186554134947234,0.2702385043235825,10,10
64,16,patch13,12,6.0,18.0,1024,h13,13,8,18,0.5439479985517532,0.2763784031494833,10,10
64,16,patch13,12,6.0,18.0,1024,h14,14,8,19,0.5118156556810929,0.3615294901958553,10,10
64,16,patch13,12,6.0,18.0,1024,h15,15,8,20,0.4273805856632501,0.3466480627820232,10,10
64,16,patch14,13,6.0,22.0,1024,h0,0,5,21,0.4087832365737556,0.2716175777513393,10,10
64,16,patch14,13,6.0,22.0,1024,h1,1,5,22,0.307061883835895,0.3480518400125532,10,10
64,16,patch14,13,6.0,22.0,1024,h2,2,5,23,0.3160233157825398,0.3934455296230952,10,10
64,16,patch14,13,6.0,22.0,1024,h3,3,5,24,0.3287431924657549,0.3917836293126558,10,10
64,16,patch14,13,6.0,22.0,1024,h4,4,6,21,0.4304411777305743,0.2779389748271484,10,10
64,16,patch14,13,6.0,22.0,1024,h5,5,6,22,0.3863726360446103,0.3609471107518694,10,10
64,16,patch14,13,6.0,22.0,1024,h6,6,6,23,0.4248244011022096,0.3897199201941532,10,10
64,16,patch14,13,6.0,22.0,1024,h7,7,6,24,0.3476661738369522,0.3898462123524878,10,10
64,16,patch14,13,6.0,22.0,1024,h8,8,7,21,0.4653194333886435,0.3419370696976815,10,10
64,16,patch14,13,6.0,22.0,1024,h9,9,7,22,0.3256640483294435,0.3806460475644238,10,10
